16,2,stand
16,3,stand
16,4,stand
16,5,stand
16,6,stand
16,7,hit
16,8,hit
16,9,hit
16,10,hit
16,11,hit
15,2,stand
15,3,stand
15,4,stand
15,5,stand
15,6,stand
15,7,hit
15,8,hit
15,9,hit
15,10,hit
15,11,hit
14,2,stand
14,3,stand
14,4,stand
14,5,stand
14,6,stand
14,7,hit
14,8,hit
14,9,hit
14,10,hit
14,11,hit
13,2,stand
13,3,stand
13,4,stand
13,5,stand
13,6,stand
13,7,hit
13,8,hit
13,9,hit
13,10,hit
13,11,hit
12,2,hit
12,3,hit
12,4,stand
12,5,stand
12,6,stand
12,7,hit
12,8,hit
12,9,hit
12,10,hit
12,11,hit
11,2,double
11,3,double
11,4,double
11,5,double
11,6,double
11,7,double
11,8,double
11,9,double
11,10,double
11,11,double
10,2,double
10,3,double
10,4,double
10,5,double
10,6,double
10,7,double
10,8,double
10,9,double
10,10,hit
10,11,hit
9,2,hit
9,3,double
9,4,double
9,5,double
9,6,double
9,7,hit
9,8,hit
9,9,hit
9,10,hit
9,11,hit
